연 번,기업명,서비스명,과목,적용학교급,핵심요소1,핵심요소2,핵심요소3,핵심요소3,가격
1,(주)메이커스 테크놀로지,"AI
 프로그래밍 교육 S/W","국어, 영어,
 수학, 사회, 과학, 정보/기술/실과, 예체능","초등학교, 중학교, 고등학교",x,o,x,x,"200,000/1인당"
2,(주)미네르바 에듀,교육용SW (꾸럼e),"국어, 영어,
 수학, 사회, 과학, 정보/기술/실과, 비교과(상담/ 진로/체험 등)","초등학교, 중학교, 고등학교, 대학교",x,x,x,o,"프리미엄기준, 1년 100명 이용시 1인당 월 2,000원"
3,(주)코더블,코짐 (CoGym),정보/기술/실과,"초등학교, 중학교, 고등학교, 대학교",o,o,o,o,"베이직(6,600(월,
 인당)),
 프로(11,000(월,
 인당))"
4,(주)쿨스쿨,AI메이저봇,비교과(상담/진 로/체험 등),"초등학교, 중학교, 고등학교",o,o,o,x,"1대당 1,210만원"
5,(주)쿨스쿨,쿨체커,"국어, 영어,
 수학, 사회, 과학, 정보/기술/실과, 예체능, 비교과(상담/ 진로/체험 등)","초등학교, 중학교, 고등학교, 대학교, 직업·평생교육",o,x,x,o,대당 286만원
6,㈜퍼플 아카데미,퍼플 아카데미,영어,"유치원, 초등학교",o,o,o,o,"1인당월108,000원( 소비자가격)"
7,(주)프리윌린,풀리수학,수학,"중학교, 고등학교",o,o,o,o,"<풀리수학+ 구독제>
 ·프리미엄월29,90 0원(이벤트가격)
 ·스탠다드월24,90 0원
 ·유형베이직월17, 900원
 ·개념베이직월14, 900원
 <풀리수학+기간 이용권>
 ·프리미엄12개월 이용권99,000원( 이벤트가격)
 ※B2B계약의경우,
 별도비용협의"
8,(주)프리윌린,매쓰플랫,수학,"초등학교, 중학교, 고등학교",o,x,x,o,"(100명 이하) 월 4,400원
 (100명이상)월3,3 00원 방학기간의경우, 무료사용기간으
 로대체"
9,IDK2,하트카운트,"정보/기술/실과, 비교과(상담/ 진로/체험 등)","유치원, 초등학교, 중학교, 고등학교, 대학교,
 직업·평생교육",o,x,o,o,논의 필요
10,LG CNS,버터타임,영어,"초등학교, 중학교, 고등학교, 대학교, 직업·평생교육",o,o,o,o,"인당 9,900원/월
 ※ 학교계약의 경우 별도 비용 협의
 ※ 프로토킹 기능 추가예정
 (23년하반기)"
11,LG CNS,스피킹 클래스,영어,"초등학교, 중학교, 고등학교",o,o,o,o,"인당 9,900원/월 (수행평가 기능한정)
 ※학교계약의 경우 별도 비용 협의
 ※스피킹클래스는 버터타임에 통합 예정(23년하반기)"
12,고트헤이븐,"온라인 스터디카 페 기반 코딩/수학 AI
 컨설턴트 솔루션","국어, 영어, 수학, 사회/과학, 정보/기술/실 과, 비교과(상담/진 로/체험 등)","중학교, 고등학교, 대학교, 직업·평생교육",o,o,o,o,"학교단위 구매시: 인/19,800원
 학급단위 구매시: 인/21,800원
 인원단위 구매시: 인/22,000원"
13,글로브포인트,VRWARE,"사회, 과학, 비교과(상담/진 로/체험 등)","초등학교, 중학교, 고등학교",x,x,o,x,"24,000원"
14,노리코리아,노리AI 스쿨수학,수학,"초등학교, 중학교, 고등학교",o,o,o,o,"학생: 1명당월3,000원
  교사: 무료"
15,디엔소프트,알공 잉글리시 플래닛,영어,초등학교,o,o,o,o,"1인당매월/6,000 원"
16,라이브데이터,AI수학 진단테스 트,수학,"초등학교, 중학교",o,o,o,o,"(학생)인당50,000 원/월
  (교사)인당100, 000원/월
 **이용규모에따 른할인율적용가 능"
17,로보그램,메타버스 코딩교육 콘텐츠 JEM S,"사회/과학, 정보/기술/실과, 예체능, 비교과(상담/진 로/체험 등)","초등학교, 중학교, 고등학교",x,o,x,x,"1인당/ ４만원(
 6개월) 한학기기준
  3월~8월
 9월~2월
  *교재별도– 교재추가시권당 ３만원
 *AI튜터라기보다 는캐락터가강의 하는LMS 강의영상수준"
18,로보그램인 공지능로봇 연구소,"스마트폰용 AI
 블록코딩 앱로보미","정보/기술/실과, 비교과(상담/진 로/체험 등)","초등학교, 중학교, 고등학교",x,o,x,x,"1인당/ 3만원(6개월) 한학기기준
  3월~8월
 9월~2월
  *교재별도– 교재추가시권당2 만원
 *AI튜터라기보다 는캐락터가강의 하는LMS 강의영상수준"
19,마이크로 소프트,"Microsoft3 65
 Learning Accelerato rs (학습능력 키우기)","국어, 영어, 수학, 정보/기술/실 과, 비교과(상담/진 로/체험 등)","유치원, 초등학교, 중학교, 고등학교",o,o,o,o,학습 능력 키우기는 무료 버전의 Office 365 A1 및 모든 Microsoft 365 SKU에서 사용할 수 있습니다.
