공고번호-차수,공고명,수요기관,"입력일시
(입찰마감일시)"
20240432327-00,2024년 AI디지털교과서(코스웨어) 직무연수 위탁 운영 용역 공고,인천광역시교육청 인천광역시교육청교육과학정보원,"2024/04/19 14:55
(2024/04/29 10:00)"
20240421364-02,APEC 디지털 교육 정책 포럼 행사 대행,(사)에이펙국제교육협력원,"2024/04/17 17:44
(-)"
20240427845-00,2024년 디지털 기반 수업혁신 교원역량강화 직무연수 위탁 운영,강원특별자치도교육청 강원특별자치도교육청교육연수원,"2024/04/17 15:44
(2024/04/29 15:00)"
20240427288-00,2024년도 이러닝 콘텐츠 개발(디지털 신기술 1차),한국기술교육대학교,"2024/04/17 14:31
(2024/05/28 10:00)"
20240427759-00,2024년도 이러닝 콘텐츠 개발(디지털 신기술 2차),한국기술교육대학교,"2024/04/17 14:30
(2024/05/28 10:00)"
20240425906-00,2024년 K-디지털 트레이닝 해커톤 및 컨퍼런스 대행 용역,한국기술교육대학교 직업능력심사평가원,"2024/04/16 20:07
(2024/04/30 10:00)"
20240425533-00,기본 교육과정 초등 3~4학년군 국어과 국정 AI 디지털교과서 개발,교육부 국립특수교육원 총무과,"2024/04/16 17:13
(2024/04/19 15:00)"
20240414333-01,2024년 AI디지털교과서(코스웨어) 직무연수 위탁 운영 용역,인천광역시교육청 인천광역시교육청교육과학정보원,"2024/04/16 10:02
(2024/04/18 10:00)"
20240418097-01,2024년 교류협력국(우간다 공화국) 교원 초청 디지털 교육 연수 용역,경기도교육청,"2024/04/11 17:19
(2024/04/22 10:00)"
20240415652-00,구미중 및 양영디지털고 전기용량증설 전기공사 설계용역,경기도교육청 경기도성남교육지원청,"2024/04/09 16:59
(2024/04/16 10:00)"
20240415165-00,디지털 평생교육체제 구축을 위한 성인의 디지털 역량 강화 방안 연구,국가평생교육진흥원,"2024/04/09 10:23
(2024/04/23 10:00)"
20240411264-00,2024학년도 디지털 기반 교육혁신 하이터치-하이테크 교육 학교관리자 직무연수 운영 용,부산광역시교육청,"2024/04/05 16:12
(2024/04/16 10:00)"
20240409106-00,2024년 디지털 기반 교육혁신 연구학교 효과성 사전사후 검사,한국교육학술정보원,"2024/04/04 17:02
(2024/04/15 11:00)"
20240407625-00,2022 개정 교육과정 적용 방송중·고 디지털 학습 콘텐츠 1차년 개발 사업,한국교육개발원,"2024/04/04 13:06
(2024/05/08 10:00)"
20240405890-00,초등 국어 AI 디지털교과서 서비스 모델 프로토타입 개발 연구(재공고),한국교육학술정보원,"2024/04/03 11:33
(2024/04/15 10:00)"
20240405579-00,초등 사회 AI 디지털교과서 서비스 모델 및 프로토타입 개발(재공고),한국교육학술정보원,"2024/04/03 10:26
(2024/04/15 10:00)"
